"","time_point","survey","location_name","species","total","event","n_tl","prev_tl","n_healthy"
"205","October19","November19","CBC Lagoon","Eusmilia fastigiata",2,"November19_CBC Lagoon_Eusmilia fastigiata",0,0,2
"206","October19","November19","CBC Lagoon","Helioseris cucullata",1,"November19_CBC Lagoon_Helioseris cucullata",0,0,1
"207","October19","November19","CBC Lagoon","Madracis decactis",3,"November19_CBC Lagoon_Madracis decactis",0,0,3
"208","October19","November19","CBC Lagoon","Meandrina meandrites",1,"November19_CBC Lagoon_Meandrina meandrites",0,0,1
"209","October19","November19","CBC Lagoon","Montastraea cavernosa",12,"November19_CBC Lagoon_Montastraea cavernosa",0,0,12
"210","October19","November19","CBC Lagoon","Orbicella spp.",17,"November19_CBC Lagoon_Orbicella spp.",0,0,17
"211","October19","November19","CBC Lagoon","Porites astreoides",71,"November19_CBC Lagoon_Porites astreoides",0,0,71
"212","October19","November19","CBC Lagoon","Porites porities",26,"November19_CBC Lagoon_Porites porities",0,0,26
"213","October19","November19","CBC Lagoon","Pseudodiploria strigosa",5,"November19_CBC Lagoon_Pseudodiploria strigosa",0,0,5
"214","October19","November19","CBC Lagoon","Siderastrea radians",1,"November19_CBC Lagoon_Siderastrea radians",0,0,1
"215","October19","November19","CBC Lagoon","Siderastrea siderea",48,"November19_CBC Lagoon_Siderastrea siderea",0,0,48
"216","October19","November19","CBC Lagoon","Stephanocoenia intersepta",5,"November19_CBC Lagoon_Stephanocoenia intersepta",0,0,5
"217","October19","November19","Curlew Patch","Acropora cervicornis",2,"November19_Curlew Patch_Acropora cervicornis",0,0,2
"218","October19","November19","Curlew Patch","Agaricia agaricites",185,"November19_Curlew Patch_Agaricia agaricites",1,0.00540540540540541,184
"219","October19","November19","Curlew Patch","Agaricia spp.",6,"November19_Curlew Patch_Agaricia spp.",0,0,6
"220","October19","November19","Curlew Patch","Agaricia tenuifolia",100,"November19_Curlew Patch_Agaricia tenuifolia",0,0,100
"221","October19","November19","Curlew Patch","Dichocoenia stokesii",1,"November19_Curlew Patch_Dichocoenia stokesii",0,0,1
"222","October19","November19","Curlew Patch","Helioseris cucullata",2,"November19_Curlew Patch_Helioseris cucullata",0,0,2
"223","October19","November19","Curlew Patch","Montastraea cavernosa",9,"November19_Curlew Patch_Montastraea cavernosa",0,0,9
"224","October19","November19","Curlew Patch","Mycetophyllia aliciae",1,"November19_Curlew Patch_Mycetophyllia aliciae",0,0,1
"225","October19","November19","Curlew Patch","Orbicella spp.",8,"November19_Curlew Patch_Orbicella spp.",0,0,8
"226","October19","November19","Curlew Patch","Porites astreoides",59,"November19_Curlew Patch_Porites astreoides",0,0,59
"227","October19","November19","Curlew Patch","Porites porities",65,"November19_Curlew Patch_Porites porities",0,0,65
"228","October19","November19","Curlew Patch","Pseudodiploria strigosa",1,"November19_Curlew Patch_Pseudodiploria strigosa",0,0,1
"229","October19","November19","Curlew Patch","Siderastrea siderea",39,"November19_Curlew Patch_Siderastrea siderea",0,0,39
"230","October19","November19","Curlew Patch","Stephanocoenia intersepta",5,"November19_Curlew Patch_Stephanocoenia intersepta",0,0,5
"231","October19","November19","House Reef","Acropora cervicornis",2,"November19_House Reef_Acropora cervicornis",0,0,2
"232","October19","November19","House Reef","Agaricia agaricites",181,"November19_House Reef_Agaricia agaricites",2,0.0110497237569061,179
"233","October19","November19","House Reef","Agaricia tenuifolia",29,"November19_House Reef_Agaricia tenuifolia",1,0.0344827586206897,28
"234","October19","November19","House Reef","Dichocoenia stokesii",2,"November19_House Reef_Dichocoenia stokesii",0,0,2
"235","October19","November19","House Reef","Eusmilia fastigiata",3,"November19_House Reef_Eusmilia fastigiata",0,0,3
"236","October19","November19","House Reef","Favia fragum",1,"November19_House Reef_Favia fragum",0,0,1
"237","October19","November19","House Reef","Montastraea cavernosa",1,"November19_House Reef_Montastraea cavernosa",0,0,1
"238","October19","November19","House Reef","Orbicella spp.",77,"November19_House Reef_Orbicella spp.",0,0,77
"239","October19","November19","House Reef","Porites astreoides",52,"November19_House Reef_Porites astreoides",0,0,52
"240","October19","November19","House Reef","Porites porities",12,"November19_House Reef_Porites porities",0,0,12
"241","October19","November19","House Reef","Pseudodiploria strigosa",10,"November19_House Reef_Pseudodiploria strigosa",0,0,10
"242","October19","November19","House Reef","Siderastrea radians",56,"November19_House Reef_Siderastrea radians",0,0,56
"243","October19","November19","House Reef","Siderastrea siderea",21,"November19_House Reef_Siderastrea siderea",0,0,21
"244","October19","November19","House Reef","Stephanocoenia intersepta",3,"November19_House Reef_Stephanocoenia intersepta",0,0,3
"245","October19","November19","South Reef Central","Agaricia agaricites",125,"November19_South Reef Central_Agaricia agaricites",0,0,125
"246","October19","November19","South Reef Central","Agaricia tenuifolia",17,"November19_South Reef Central_Agaricia tenuifolia",1,0.0588235294117647,16
"247","October19","November19","South Reef Central","Dichocoenia stokesii",5,"November19_South Reef Central_Dichocoenia stokesii",0,0,5
"248","October19","November19","South Reef Central","Helioseris cucullata",3,"November19_South Reef Central_Helioseris cucullata",0,0,3
