"","survey","location_name","species","n_tl","n_healthy"
"318","May 2022","House Reef","Porites porites",0,1
"319","May 2022","House Reef","Pseudodiploria clivosa",0,0
"320","May 2022","House Reef","Pseudodiploria strigosa",3,4
"321","May 2022","House Reef","Scolymia cubensis",0,0
"322","May 2022","House Reef","Siderastrea radians",0,2
"323","May 2022","House Reef","Siderastrea siderea",1,7
"324","May 2022","House Reef","Stephanocoenia intersepta",0,7
"325","May 2022","SR30N","Acropora cervicornis",0,0
"326","May 2022","SR30N","Agaricia agaricites",0,26
"327","May 2022","SR30N","Agaricia lamarckiana",0,0
"328","May 2022","SR30N","Agaricia tenuifolia",0,14
"329","May 2022","SR30N","Colpophyllia natans",0,1
"330","May 2022","SR30N","Dendrogyra cylindrus",0,0
"331","May 2022","SR30N","Dichocoenia stokesii",0,2
"332","May 2022","SR30N","Diploria labyrinthiformis",0,0
"333","May 2022","SR30N","Eusmilia fastigiata",0,0
"334","May 2022","SR30N","Favia fragum",0,0
"335","May 2022","SR30N","Helioseris cucullata",0,0
"336","May 2022","SR30N","Isophyllia rigida",0,1
"337","May 2022","SR30N","Isophyllia sinuosa",0,0
"338","May 2022","SR30N","Madracis decactis",0,0
"339","May 2022","SR30N","Meandrina meandrites",0,0
"340","May 2022","SR30N","Montastraea cavernosa",1,2
"341","May 2022","SR30N","Mycetophyllia aliciae",0,0
"342","May 2022","SR30N","Mycetophyllia spp.",0,0
"343","May 2022","SR30N","Orbicella spp.",0,6
"344","May 2022","SR30N","Porites astreoides",0,21
"345","May 2022","SR30N","Porites porites",0,10
"346","May 2022","SR30N","Pseudodiploria clivosa",0,1
"347","May 2022","SR30N","Pseudodiploria strigosa",1,6
"348","May 2022","SR30N","Scolymia cubensis",0,0
"349","May 2022","SR30N","Siderastrea radians",0,0
"350","May 2022","SR30N","Siderastrea siderea",3,13
"351","May 2022","SR30N","Stephanocoenia intersepta",0,0
"352","May 2022","South Reef Central","Acropora cervicornis",0,0
"353","May 2022","South Reef Central","Agaricia agaricites",1,68
"354","May 2022","South Reef Central","Agaricia lamarckiana",0,0
"355","May 2022","South Reef Central","Agaricia tenuifolia",0,28
"356","May 2022","South Reef Central","Colpophyllia natans",0,0
"357","May 2022","South Reef Central","Dendrogyra cylindrus",0,0
"358","May 2022","South Reef Central","Dichocoenia stokesii",0,0
"359","May 2022","South Reef Central","Diploria labyrinthiformis",0,0
"360","May 2022","South Reef Central","Eusmilia fastigiata",4,1
"361","May 2022","South Reef Central","Favia fragum",0,0
"362","May 2022","South Reef Central","Helioseris cucullata",0,0
"363","May 2022","South Reef Central","Isophyllia rigida",0,0
"364","May 2022","South Reef Central","Isophyllia sinuosa",0,0
"365","May 2022","South Reef Central","Madracis decactis",0,5
"366","May 2022","South Reef Central","Meandrina meandrites",0,0
"367","May 2022","South Reef Central","Montastraea cavernosa",1,4
"368","May 2022","South Reef Central","Mycetophyllia aliciae",0,0
"369","May 2022","South Reef Central","Mycetophyllia spp.",0,0
"370","May 2022","South Reef Central","Orbicella spp.",1,4
"371","May 2022","South Reef Central","Porites astreoides",0,56
"372","May 2022","South Reef Central","Porites porites",0,26
"373","May 2022","South Reef Central","Pseudodiploria clivosa",0,0
"374","May 2022","South Reef Central","Pseudodiploria strigosa",1,1
"375","May 2022","South Reef Central","Scolymia cubensis",0,0
"376","May 2022","South Reef Central","Siderastrea radians",0,5
"377","May 2022","South Reef Central","Siderastrea siderea",6,26
"378","May 2022","South Reef Central","Stephanocoenia intersepta",0,1
"379","December22","CBC Central","Acropora cervicornis",0,0
"380","December22","CBC Central","Agaricia agaricites",1,138
"381","December22","CBC Central","Agaricia lamarckiana",0,0
"382","December22","CBC Central","Agaricia tenuifolia",3,67
"383","December22","CBC Central","Colpophyllia natans",0,0
"384","December22","CBC Central","Dendrogyra cylindrus",0,0
"385","December22","CBC Central","Dichocoenia stokesii",0,0
"386","December22","CBC Central","Diploria labyrinthiformis",0,0
"387","December22","CBC Central","Eusmilia fastigiata",0,0
"388","December22","CBC Central","Favia fragum",0,0
"389","December22","CBC Central","Helioseris cucullata",0,1
