"","ID","diver","buddy","meters_surveyed","site_code","location_name","latitude","longitude","day","month","year","depth","code","scientific_name","total","juveniles_1_to_4_cm","isolate_1_to_4_cm","X5_to_10_cm","X11_to_20_cm","X21_to_40_cm","X41_to_80_cm","over_80_cm","X0_recent_total_mortality","predation_bites","X","total_small","total_lg","adult","date","event","time_point","survey"
"764",NA,"Leah Harper","",NA,"","CBC30N",NA,NA,22,5,"2022","","mdec","Madracis decactis",3,0,0,1,1,1,0,0,"",NA,"",3,0,3,2022-05-22,"CBC30N_May22","May22","May22"
"765",NA,"Leah Harper","",NA,"","CBC30N",NA,NA,22,5,"2022","","mcav","Montastraea cavernosa",1,0,0,0,1,0,0,0,"",NA,"",1,0,1,2022-05-22,"CBC30N_May22","May22","May22"
"766",NA,"Leah Harper","",NA,"","CBC30N",NA,NA,22,5,"2022","","past","Porites astreoides",32,3,1,11,13,4,0,0,"",NA,"",29,0,29,2022-05-22,"CBC30N_May22","May22","May22"
"767",NA,"Leah Harper","",NA,"","CBC30N",NA,NA,22,5,"2022","","ppor","Porites porites",6,1,1,1,2,1,0,0,"",NA,"",5,0,5,2022-05-22,"CBC30N_May22","May22","May22"
"768",NA,"Leah Harper","",NA,"","CBC30N",NA,NA,22,5,"2022","","ssid","Siderastrea siderea",20,1,3,4,7,5,0,0,"",NA,"",19,0,19,2022-05-22,"CBC30N_May22","May22","May22"
"769",NA,"Leah Harper","",NA,"","CBC30N",NA,NA,22,5,"2022","","sint","Stephanocoenia intersepta",3,0,0,1,1,1,0,0,"",NA,"",3,0,3,2022-05-22,"CBC30N_May22","May22","May22"
"770",NA,"Viviana Bravo","",NA,"","CBC30N",NA,NA,22,5,"2022","","aaga","Agaricia agaricites",18,5,0,7,4,2,0,0,"",NA,"",13,0,13,2022-05-22,"CBC30N_May22","May22","May22"
"771",NA,"Viviana Bravo","",NA,"","CBC30N",NA,NA,22,5,"2022","","aten","Agaricia tenuifolia",9,0,0,0,5,2,2,0,"",NA,"",7,2,9,2022-05-22,"CBC30N_May22","May22","May22"
"772",NA,"Viviana Bravo","",NA,"","CBC30N",NA,NA,22,5,"2022","","pstr","Pseudodiploria strigosa",1,0,0,0,1,0,0,0,"",NA,"",1,0,1,2022-05-22,"CBC30N_May22","May22","May22"
"773",NA,"Viviana Bravo","",NA,"","CBC30N",NA,NA,22,5,"2022","","mcav","Montastraea cavernosa",2,0,0,0,2,0,0,0,"",NA,"",2,0,2,2022-05-22,"CBC30N_May22","May22","May22"
"774",NA,"Viviana Bravo","",NA,"","CBC30N",NA,NA,22,5,"2022","","past","Porites astreoides",37,2,0,13,18,4,0,0,"",NA,"",35,0,35,2022-05-22,"CBC30N_May22","May22","May22"
"775",NA,"Viviana Bravo","",NA,"","CBC30N",NA,NA,22,5,"2022","","ppor","Porites porites",2,0,0,1,1,0,0,0,"",NA,"",2,0,2,2022-05-22,"CBC30N_May22","May22","May22"
"776",NA,"Viviana Bravo","",NA,"","CBC30N",NA,NA,22,5,"2022","","ssid","Siderastrea siderea",6,0,0,2,1,3,0,0,"",NA,"",6,0,6,2022-05-22,"CBC30N_May22","May22","May22"
"777",NA,"Viviana Bravo","",NA,"","CBC30N",NA,NA,22,5,"2022","","srad","Siderastrea radians",3,0,0,1,2,0,0,0,"",NA,"",3,0,3,2022-05-22,"CBC30N_May22","May22","May22"
"778",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","aaga","Agaricia agaricites",34,0,3,19,10,2,0,0,"",NA,"",34,0,34,2022-05-24,"South Reef Central_May22","May22","May22"
"779",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","aten","Agaricia tenuifolia",16,0,0,3,10,1,2,0,"",NA,"",14,2,16,2022-05-24,"South Reef Central_May22","May22","May22"
"780",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","pstr","Pseudodiploria strigosa",2,0,0,1,1,0,0,0,"",NA,"",2,0,2,2022-05-24,"South Reef Central_May22","May22","May22"
"781",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","efas","Eusmilia fastigiata",4,0,0,2,2,0,0,0,"",NA,"",4,0,4,2022-05-24,"South Reef Central_May22","May22","May22"
"782",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","mdec","Madracis decactis",5,0,0,0,5,0,0,0,"",NA,"",5,0,5,2022-05-24,"South Reef Central_May22","May22","May22"
"783",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","mcav","Montastraea cavernosa",1,0,0,1,0,0,0,0,"",NA,"",1,0,1,2022-05-24,"South Reef Central_May22","May22","May22"
"784",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","orbi","Orbicella spp.",2,0,0,1,0,0,1,0,"",NA,"",1,1,2,2022-05-24,"South Reef Central_May22","May22","May22"
"785",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","past","Porites astreoides",13,0,0,6,7,0,0,0,"",NA,"",13,0,13,2022-05-24,"South Reef Central_May22","May22","May22"
"786",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","ppor","Porites porites",8,0,0,2,6,0,0,0,"",NA,"",8,0,8,2022-05-24,"South Reef Central_May22","May22","May22"
"787",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","ssid","Siderastrea siderea",9,0,2,3,3,1,0,0,"",NA,"",9,0,9,2022-05-24,"South Reef Central_May22","May22","May22"
"788",NA,"Leah Harper","",NA,"","South Reef Central",NA,NA,24,5,"2022","","sint","Stephanocoenia intersepta",1,0,0,0,1,0,0,0,"",NA,"",1,0,1,2022-05-24,"South Reef Central_May22","May22","May22"
"789",NA,"Viviana Bravo","",NA,"","South Reef Central",NA,NA,24,5,"2022","","aaga","Agaricia agaricites",35,5,1,12,15,1,1,0,"",NA,"",29,1,30,2022-05-24,"South Reef Central_May22","May22","May22"
"790",NA,"Viviana Bravo","",NA,"","South Reef Central",NA,NA,24,5,"2022","","aten","Agaricia tenuifolia",12,0,0,4,3,4,0,1,"",NA,"",11,1,12,2022-05-24,"South Reef Central_May22","May22","May22"
"791",NA,"Viviana Bravo","",NA,"","South Reef Central",NA,NA,24,5,"2022","","efas","Eusmilia fastigiata",1,0,0,0,1,0,0,0,"",NA,"",1,0,1,2022-05-24,"South Reef Central_May22","May22","May22"
"792",NA,"Viviana Bravo","",NA,"","South Reef Central",NA,NA,24,5,"2022","","mcav","Montastraea cavernosa",4,0,0,0,3,1,0,0,"",NA,"",4,0,4,2022-05-24,"South Reef Central_May22","May22","May22"
"793",NA,"Viviana Bravo","",NA,"","South Reef Central",NA,NA,24,5,"2022","","orbi","Orbicella spp.",3,0,0,1,0,1,0,1,"",NA,"",2,1,3,2022-05-24,"South Reef Central_May22","May22","May22"
"794",NA,"Viviana Bravo","",NA,"","South Reef Central",NA,NA,24,5,"2022","","past","Porites astreoides",43,7,1,15,16,4,0,0,"",NA,"",36,0,36,2022-05-24,"South Reef Central_May22","May22","May22"
"795",NA,"Viviana Bravo","",NA,"","South Reef Central",NA,NA,24,5,"2022","","ppor","Porites porites",18,0,3,4,9,2,0,0,"",NA,"",18,0,18,2022-05-24,"South Reef Central_May22","May22","May22"
"796",NA,"Viviana Bravo","",NA,"","South Reef Central",NA,NA,24,5,"2022","","ssid","Siderastrea siderea",23,0,3,4,10,6,0,0,"",NA,"",23,0,23,2022-05-24,"South Reef Central_May22","May22","May22"
"797",NA,"Viviana Bravo","",NA,"","South Reef Central",NA,NA,24,5,"2022","","srad","Siderastrea radians",5,0,1,2,2,0,0,0,"",NA,"",5,0,5,2022-05-24,"South Reef Central_May22","May22","May22"
"798",NA,"Leah Harper","",NA,"","Curlew Patch",NA,NA,23,5,"2022","","aaga","Agaricia agaricites",11,2,0,6,3,0,0,0,"",NA,"",9,0,9,2022-05-23,"Curlew Patch_May22","May22","May22"
"799",NA,"Leah Harper","",NA,"","Curlew Patch",NA,NA,23,5,"2022","","aten","Agaricia tenuifolia",9,0,0,3,3,1,2,0,"",NA,"",7,2,9,2022-05-23,"Curlew Patch_May22","May22","May22"
"800",NA,"Leah Harper","",NA,"","Curlew Patch",NA,NA,23,5,"2022","","dsto","Dichocoenia stokesii",1,0,0,0,1,0,0,0,"",NA,"",1,0,1,2022-05-23,"Curlew Patch_May22","May22","May22"
